"PR"	"URL"	"Title"	"Content type"	"Is rendered page"	"HTTP status code"	"Organic traffic"	"Depth"	"Is indexable page"	"No. of all inlinks"	"First found at"
"0"	"https://www.rshankar.com/assets/images/image110.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.rshankar.com/how-to-turn-off-ordinals-with-superscript-in-word-2010/"
"0"	"https://www.rshankar.com/assets/images/image98.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.rshankar.com/how-to-recover-deleted-folders-in-outlook-2010/"
"0"	"https://www.rshankar.com/wp-content/uploads/2015/07/1435637625_full1.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2015/07/1435637625_full1.png"
"0"	"https://www.rshankar.com/wp-content/uploads/2017/10/1509293376_full.gif"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2017/10/1509293376_full.gif"
"0"	"https://www.rshankar.com/assets/images/image102.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.rshankar.com/turn-off-auto-detect-links-in-google-docs/"
"0"	"https://www.rshankar.com/wp-content/uploads/2015/07/1437992023_full1.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2015/07/1437992023_full1.png"
"0"	"https://www.rshankar.com/wp-content/uploads/2015/06/1435222038_full.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2015/06/1435222038_full.png"
"0"	"https://www.rshankar.com/assets/images/image60.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.rshankar.com/how-to-archive-email-messages-in-ipad-2/"
"0"	"https://www.rshankar.com/wp-content/uploads/2015/07/1437969162_full.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2015/07/1437969162_full.png"
"0"	"https://www.rshankar.com/assets/images/image59.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.rshankar.com/how-to-archive-email-messages-in-ipad-2/"
"0"	"https://www.rshankar.com/app-and-launch-with-chatgpt/"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/app-and-launch-with-chatgpt/"
"0"	"https://www.rshankar.com/wp-content/uploads/2015/06/Date-and-Time-mode-set-for-Date-Picker_full.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2015/06/Date-and-Time-mode-set-for-Date-Picker_full.png"
"0"	"https://www.rshankar.com/wp-content/uploads/2015/07/1438261925_full.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2015/07/1438261925_full.png"
"0"	"https://www.rshankar.com/2013/06/21/basic-overview-of-xcode/"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/2013/06/21/basic-overview-of-xcode/"
"0"	"https://www.rshankar.com/sleep-tracker/progress/2025/01/week-3/"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.rshankar.com/sleep-tracker/progress/"
"0"	"https://www.rshankar.com/assets/images/image13.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.rshankar.com/how-to-install-web-certificates-in-ipad-2/"
"0"	"https://www.rshankar.com/wp-content/uploads/2015/07/1437372714_full.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2015/07/1437372714_full.png"
"0"	"https://www.rshankar.com/assets/images/clip_image005.jpg"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.rshankar.com/how-to-disable-automatic-java-update-check-in-windows-7/"
"0"	"https://www.rshankar.com/wp-content/uploads/2015/07/1436158801_full.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2015/07/1436158801_full.png"
"0"	"https://www.rshankar.com/assets/images/image62.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.rshankar.com/how-to-archive-email-messages-in-ipad-2/"
"0"	"https://www.rshankar.com/wp-content/uploads/2015/07/1437968410_full.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2015/07/1437968410_full.png"
"0"	"https://www.rshankar.com/wp-content/uploads/2015/06/1433848175_full.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2015/06/1433848175_full.png"
"0"	"https://www.rshankar.com/assets/images/image36.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"2"	"https://www.rshankar.com/how-to-insert-a-symbol-in-outlook-2010-email-message/"
"0"	"https://www.rshankar.com/wp-content/uploads/2015/07/1438325063_full.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2015/07/1438325063_full.png"
"0"	"https://www.rshankar.com/wp-content/uploads/2019/10/20110422-122656.jpg"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2019/10/20110422-122656.jpg"
"0"	"https://www.rshankar.com/wp-content/uploads/2015/07/1438004528_full.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2015/07/1438004528_full.png"
"0"	"https://www.rshankar.com/wp-content/uploads/2015/07/1437990543_full.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2015/07/1437990543_full.png"
"0"	"https://www.rshankar.com/wp-content/uploads/2015/07/1437929448_full.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2015/07/1437929448_full.png"
"0"	"https://www.rshankar.com/assets/images/image37.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.rshankar.com/how-to-insert-a-symbol-in-outlook-2010-email-message/"
"0"	"https://www.rshankar.com/assets/images/Repeated-Word.jpg"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.rshankar.com/find-repeated-words-in-word-2010/"
"0"	"https://www.rshankar.com/assets/images/image101.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.rshankar.com/how-to-find-word-count-in-google-docs-document/"
"0"	"https://www.rshankar.com/wp-content/uploads/2015/07/1438269366_full.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2015/07/1438269366_full.png"
"0"	"https://www.rshankar.com/wp-content/uploads/2017/10/1509291905_full.gif"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2017/10/1509291905_full.gif"
"0"	"https://www.rshankar.com/2013/03/02/xcodes-ios-simulator-for-iphone-and-ipad/"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/2013/03/02/xcodes-ios-simulator-for-iphone-and-ipad/"
"0"	"https://www.rshankar.com/wp-content/uploads/2015/07/1437220213_full.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2015/07/1437220213_full.png"
"0"	"https://www.rshankar.com/wp-content/uploads/2015/07/1438261296_full.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2015/07/1438261296_full.png"
"0"	"https://www.rshankar.com/assets/images/image61.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"1"	"false"	"1"	"https://www.rshankar.com/how-to-archive-email-messages-in-ipad-2/"
"0"	"https://www.rshankar.com/wp-content/uploads/2015/07/1435733826_full1.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2015/07/1435733826_full1.png"
"0"	"https://www.rshankar.com/wp-content/uploads/2015/07/1438255179_full.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2015/07/1438255179_full.png"
"0"	"https://www.rshankar.com/wp-content/uploads/2015/07/1438254622_full.png"	""	"text/html; charset=utf-8"	"false"	"404"	"0"	"2"	"false"	"1"	"https://rshankar.com/wp-content/uploads/2015/07/1438254622_full.png"
